	text_a	text_b	labels
2695	He will replace Ron Dittemore, who announced his resignation April 23.	Dittemore announced his plans to resign on April 23.	2.600
2696	Selenski had previously spent seven years in prison on a bank robbery conviction.	Selenski had served about seven years in prison for bank robbery.	4.571
2697	Maddox, 87, cracked two ribs when he fell about 10 days ago at an assisted living home where he was recovering from intestinal surgery, Virginia Carnes said.	Maddox, who had battled cancer since 1983, cracked two ribs earlier this month when he fell at an assisted living home where he was recovering from surgery.	3.400
2698	Graham, a presidential candidate, was criticized by several Republicans as ''politicizing'' the report.	Graham, who co-chaired the inquiry, is a presidential candidate.	2.250
2699	In 2002, Linksys overtook Cisco Systems as the leading wireless equipment vendor, accounting for 14.1 percent of revenue.	Rolfe said Linksys overtook Cisco Systems last year as the leading supplier of WLAN equipment.	3.500
2700	Schools that fail to meet state goals for three years in a row must offer tutoring in addition to transfers.	Schools that don't meet the testing goals for two years in a row must offer transfers.	2.750
2701	Tampering with medicine has been so lucrative that many of those arrested lived in million-dollar homes.	Tampering with medicine apparently was so lucrative, investigators said, that many of the suspects lived in million-dollar homes.	4.750
2702	Mr Howard said he also had faith in the system under which Hicks could be tried.	Mr Howard also said yesterday that Hicks would be fairly treated, saying he had faith in the US justice system.	4.500
2703	Smugglers in a van chased down a pickup and SUV carrying other smugglers and illegal immigrants, said Pinal County Sheriff Roger Vanderpool.	People in a van opened fire on a pickup and SUV believed to be transporting illegal immigrants, said Pinal County Sheriff Roger Vanderpool.	3.167
2704	The trial, featuring 125 witnesses, could continue until the start of 2004.	The trial, which could last until early 2004, is expected to hear the first of 125 witnesses Friday.	4.500
2705	The computers were reportedly located in the U.S., Canada and South Korea.	The PCs are scattered across the United States, Canada and South Korea.	4.750
2706	The vulnerability affects Windows NT 4.0, NT 4.0 Terminal Services Edition, XP and 2000, as well as Windows Server 2003.	Microsoft issued a patch for the vulnerability, which affects Windows NT 4.0, Windows NT 4.0 Terminal Services Edition, Windows 2000, Windows XP and Windows Server 2003.	2.750
2707	The additional contribution brings total U.S. food aid to North Korea this year to 100,000 tonnes.	The donation of 60,000 tons brings the total of U.S. contributions for the year to 100,000.	3.200
2708	The European Union banned the import of genetically modified food in 1998; the United States is now demanding that the EU end its ban.	The union banned the import of genetically modified food in 1998 after many consumers feared health risks.	2.600
2709	He projected Vanderpool will be available within the next five years.	Products featuring Vanderpool will be released within five years, he said.	4.400
2710	Annika Sorenstam gets her first opportunity to test that objective this week at the McDonald's LPGA Championship.	The appetizer devoured, Annika Sorenstam moves on to the entree this week at the McDonald's LPGA Championship.	3.000
2711	The broader Standard & Poor's 500 Index .SPX gained 3 points, or 0.39 percent, at 924.	The technology-laced Nasdaq Composite Index <.IXIC> rose 6 points, or 0.41 percent, to 1,498.	0.944
2712	Cisco has signed similar deals with AT&T Corp. T.N , SBC Communications Inc. SBC.N and Sprint Corp. FON.N .	Cisco has similar relationships with BellSouth competitors SBC Communications, AT&T and Sprint Communications.	4.000
2713	Harris and Klebold killed 12 students and a teacher before taking their own lives on April 20, 1999.	Harris and Klebold killed 12 students, a teacher and themselves at the school.	3.800
2714	"""We condemn the Governing Council headed by the United States,"" Muqtada al Sadr said in a sermon at a mosque."	"""We condemn and denounce the Governing Council, which is headed by the United States,"" Moqtada al-Sadr said."	4.200
2715	In a statement distributed Friday, 28 Chechen non-governmental organizations said they would boycott the vote.	In a statement distributed today, 28 Chechen non-governmental organisations said they would boycott the vote and warned voters to expect fraud.	4.200
2716	The state's population was 6,080,485 in 2000, according to the U.S. census.	Between 1960 and 2000, however, the state's population grew by 30.4 percent to 6,080,485.	2.600
2717	July 18: Hurlbert files a single count of felony sexual assault against Bryant.	Bryant, 24, has been charged with felony sexual assault.	3.056
2718	St. Paul Chairman and Chief Executive Jay S. Fishman, 51, will be CEO of the combined company.	Jay Fishman, 51, chairman and chief executive of St Paul, will be chief executive of the combined company.	4.750
2719	Instead, Weida decided that Meester's case on charges of rape, sodomy, indecent assault and providing alcohol to minors should proceed to a court-martial.	Douglas Meester, 20, is charged with rape, sodomy, indecent assault, and providing alcohol to minors.	3.250
2720	They made a similar discovery in Houston on another aircraft, Dallas-based Southwest said in a statement.	The airline said a similar discovery was made on the plane in Houston.	3.400
2721	"Rosenthal declined comment on the Garrett situation Tuesday but said in a statement: ""We had a big contract negotiation."	"The show's creator and executive producer, Phil Rosenthal, quipped in a statement: ""We had a big contract negotiation."	3.750
2722	With the power back on, state workers headed back to their jobs Friday morning.	Pataki said if power was restored, state workers would be back on the job Friday morning.	2.600
2723	The Nasdaq fell about 1.3% for the month, snapping a seven-month winning streak.	The Nasdaq is down roughly 0.4 percent for the month, on track to snap a 7-month streak of gains.	2.400
2724	The report was found Oct. 23, tucked inside an old three-ring binder not related to the investigation.	The report was found last week tucked inside a training manual that belonged to Hicks.	3.200
2725	On Saturday, the International Committee of the Red Cross said it was temporarily closing its offices in Baghdad and Basra.	The International Committee of the Red Cross, fearful for the safety of its staff operating in Iraq, announced it was temporarily shutting its offices in Baghdad and Basra.	3.400
2726	The Ireland Palestine Solidarity Campaign, of which Mr O Muireagáin was a member, welcomed his release.	The Ireland Palestine Solidarity Campaign, of which he was a member, said he was researching a schools exchange project.	2.400
2727	"Glover said the killer used a ""peculiar slipknot"" on the ligature he used to strangle some of the victims."	Glover said the killer used a ``peculiar slipknot,'' including a coaxial cable and an extension cord, to strangle some of the victims.	3.400
2728	She said Jane Doe's lawyers asked Verizon to withhold her name because she was planning on challenging the subpoena.	Jane Doe, deciding to fight the subpoena, asked Verizon to withhold her name.	3.600
2729	In September, a 27-year-old Singapore researcher contracted SARS while working in a laboratory.	In a case in August, a 27-year-old laboratory worker in Singapore developed SARS.	3.400
2730	A number below 50 suggests contraction in the manufacturing sector, while a number above that indicates expansion.	A reading above 50 suggests growth in the sector, while a number below that level indicates contraction.	4.818
2731	A lawsuit has been filed in an attempt to block the removal of the Ten Commandments monument from the building.	Supporters asked a federal court Monday to block the removal of a Ten Commandments monument from the Alabama Judicial Building.	3.200
2732	Britz earned $3.77 million in salary, bonus and other compensation, and Kinney earned $3.76 million.	Johnston made $5.8 million in salary and bonus in 2001 as president, and as a part-time adviser earned $1 million in 2002.	1.400
2733	That truck was spotted in the Campbells Creek area, fitting that description, Morris said.	A black pickup truck was also seen in the Campbells Creek area, Morris said.	3.000
2734	Chairman Michael Powell and FCC colleagues at the Wednesday hearing.	FCC chief Michael Powell presides over hearing Monday.	3.200
2735	The Dow Jones Industrial Average was up 0.3 per cent at 9,886.75, while the Nasdaq Composite index was 0.4 per cent higher at 1,986.97.	On Wall Street, the Dow Jones Industrial Average rose 0.5 per cent at 9,905.8 and the Nasdaq Composite added 0.7 per cent at 1,995.1.	1.800
2736	Tehran has made clear it will only sign the Additional Protocol introducing such inspections if a ban on the import of civilian Western nuclear technology is lifted.	Tehran has made it clear it will only sign the protocol if a ban on imports of peaceful Western nuclear technology is lifted.	3.800
2737	Congress twice before passed similar restrictions only to see President Bill Clinton veto them.	Congress twice passed similar bills, but then-President Clinton vetoed them both times.	4.600
2738	"But I would rather be talking about high standards than low standards."""	"""I would rather be talking about positive numbers rather than negative."	2.800
2739	Under the program, U.S. officials work with foreign port authorities to identify, target and search high-risk cargo.	Under the program, US officials work with foreign port authorities to seek out high-risk cargo before it can reach the United States.	4.250
2740	Niels told an interviewer in 1999 he thought the Old Man would outlive him by many years.	In 1999, two years before his death, Mr. Nielsen told an interviewer that he thought the rock face would outlive him by many years.	3.000
2741	One, Capt. Doug McDonald, remained hospitalized in critical condition on Thursday.	Her 20-year-old sister, Allyson, was severely burned and remained hospitalized in critical condition.	0.750
2742	On Wednesday, the total of National Guard and Reserve members called to active duty worldwide stood at 154,603.	As of yesterday, the total number of National Guard and Reserve troops called to duty worldwide stood at 154,603.	4.000
2743	During a period of nearly a decade, Telemarketing Associates raised more than $7 million.	Telemarketing Associates, hired by VietNow, raised $7.1 million from 1987 to 1995.	3.600
2744	The bodies of former Invercargill man Warren Campbell, 32, and climbing companion Jonathan Smith, 47, were recovered from below Mt D'Archiac late yesterday morning.	Warren David Campbell, 32, and climbing companion Jonathan Smith, 47, did not return as expected on Tuesday from climbing on Mt D'Archiac in the McKenzie District.	2.200
2745	Mr. Geoghan had been living in a protective custody unit since being transferred to the prison on April 3.	He had been in protective custody since being transferred to Souza-Baranowski in April, officials said.	2.800
2746	"The 2000 Democratic platform supported ""the full inclusion of gay and lesbian families in the life of the nation."""	"The Democrat's 2000 platform didn't explicitly support gay marriages but backed ""the full inclusion of gay and lesbian families into the life of the nation."""	3.200
2747	Its shares fell 71 cents, or 3.5 percent, in after-hours trading to $19.55.	The stock had risen 63 cents, or 3 percent, to close at $20.26 in regular-session Nasdaq trading.	1.250
2748	Hundreds of reporters and photographers swamped the courthouse grounds before the hearing, which was carried live on national cable networks.	Hundreds of reporters and photographers swamped the town and the short hearing involving the five-time All-Star was carried live on national cable networks.	3.000
2749	AMD's chip sales jumped 7 percent year-on-year to $402 million.	Second-quarter sales grew 7 percent, to $645 million from $600 million in 2002.	2.200
2750	Shelia Chaney Wilson seemed agitated when she came to help prepare for Turner Monumental A.M.E. Church's upcoming 104th anniversary celebration, worshippers said.	Congregants of Turner Monumental AME Church said Shelia Chaney Wilson, 43, was agitated when she came to the church, in the Kirkwood neighborhood on the city's east side.	3.600
2751	He was the Ace of Diamonds in a pack of cards depicting Iraqi fugitives that has been issued to U.S. troops.	He was the ace of diamonds in a U.S. deck of cards showing pictures of most-wanted Iraqi leaders.	4.000
2752	Miodrag Zivkovic, of the Liberal Alliance of Montenegro, won 31 percent of the vote, while the independent Dragan Hajdukovic got 4 percent.	A pro-independence radical, Miodrag Zivkovic, of the Liberal Alliance, came in second with 31 percent of the vote.	3.000
2753	So far, Georgia has been returned all but $70,000 of the money it wired.	Georgia has received all but $70,000 of its money back with the help of the FBI.	3.750
2754	The island nation reported 65 new cases on May 22, a one day record, and 55 new cases on May 23, making Taiwan's epidemic the fastest-growing in the world.	Taiwan reported 65 new cases on May 22, a one-day record, and 55 new cases on May 23, making its epidemic the world's fastest-growing.	5.000
2755	Cubs outfielder Sammy Sosa was suspended for eight games by major league baseball Friday for using a corked bat.	Sammy Sosa was suspended for eight games by major league baseball Friday for using a corked bat, and he immediately appealed the decision.	3.200
2756	Half of the women were given a daily dose of the drug and half took a placebo.	Half the women received a daily tablet of the combination oestrogen plus progestin while the rest were given a placebo.	3.200
2757	When police removed the four from the home, they weighed 136 pounds combined.	Each boy weighed less than 50 pounds when they were removed from the home Oct. 10.	3.000
2758	While the Ibrahims had one separation operation, Goodrich and Dr. David Staffenberg plan about three for the Aguirres, with several weeks between each.	Instead of one long operation to separate the twins, Goodrich and Dr. David Staffenberg plan about three, with several weeks between each.	3.600
2759	The company has expanded into providing other services for buyers, including payment services.	The company has expanded those basic services, offering payment and even financing.	4.200
2760	The blasts killed two people and injured more than 150 others.	The Atlanta Olympic Games attack killed one woman and injured more than 100 other people.	1.800
2761	In 2001, President Bush named Kathy Gregg to the Student Loan Marketing Association board of directors.	In 2001, President Bush named her to the Student Loan Marketing Association, the largest U.S. lender for students.	3.231
2762	The Boston Archdiocese has faced waves of scandal that have not only angered victims' advocates but parishioners and some priests.	The waves of scandal angered not only victims' advocates but parishioners and some priests, to the point that Law could no longer run the archdiocese.	3.000
2763	A federal magistrate in Fort Lauderdale ordered him held without bail.	Zuccarini was ordered held without bail Wednesday by a federal judge in Fort Lauderdale, Fla.	3.000
2764	The department's position threatens to alienate social conservatives, who have provided strong political support for Mr. Ashcroft and President Bush.	The department's stance disappointed some abortion opponents, and it threatens to alienate social conservatives who have provided strong political support for Ashcroft and President Bush.	3.750
2765	South Africa has the world's highest caseload with 4.7 million people infected with HIV or AIDS.	With 4.7 million people infected with HIV or AIDS, South Africa has the world's highest AIDS caseload.	5.000
2766	In that position, Elias will report to Joe Tucci, president and CEO of EMC.	As executive vice president of new ventures, Elias will report to Joe Tucci, EMC's president and chief executive.	3.400
2767	The new Army Commander is the Masaka Armoured Brigade commanding officer, Brigadier Aronda Nyakairima who is now promoted to major general.	PRESIDENT Yoweri Museveni has promoted Brigadier Aronda Nyakairima to Major General and named him Army Commander.	3.200
2768	Mailblocks was founded five years after WebTV was acquired by Microsoft for $425 million.	WebTV was sold to Microsoft in 1997 for $425 million and today is called MSN TV.	2.800
2769	The Metropolitan Transportation Authority was given two weeks to restore the $1.50 fare and the old commuter railroad rates, York declared.	The Metropolitan Transportation Authority, which plans to appeal, was given until May 28 to restore the old subway and bus fare and the old commuter railroad rates.	2.800
2770	"""Today, we are trying to convey this problem to Russian President Vladimir Putin and US President George W Bush."""	"""Today, we are trying to convey this problem to Russian President Vladimir Putin (news - web sites) and President Bush (news - web sites)."""	4.600
2771	The state wants to kill the wolves in approximately a 1,700-square-mile area near the village of McGrath.	The state wants to kill the wolves in approximately a 1,700-square-mile area near McGrath to establish a moose nursery of sorts.	3.200
2772	Peterson told police he fished alone in San Francisco Bay on Christmas Eve, returning to an empty house.	Peterson told police he left his wife at about 9:30 a.m. on Dec. 24 to fish alone in San Francisco Bay.	3.000
2773	The Fed's Empire State survey far exceeded expectations by jumping to 26.8 in June, a record high, from 10.6 in May.	Prices had pulled back from offshore highs when the Empire State survey far exceeded expectations by jumping to 26.8 in June, a record high, from 10.6 in May.	3.800
2774	"Det Chief Insp Norman McKinlay said there was ""evidence a body or bodies have been in this area""."	"Detective Chief Inspector Norman McKinlay, leading the investigation, said: ""There is evidence a body or bodies have been in this area."	4.500
2775	Board Chancellor Robert Bennett declined to comment on personnel matters Tuesday, as did Mills.	Mr. Mills declined to comment yesterday, saying that he never discussed personnel matters.	3.000
2776	General Jeffrey said he would donate his military pension to charity for the period he was in office at Yarralumla.	Maj-Gen Jeffery said he would give his military pension to charity while he served at Yarralumla.	4.727
2777	Tampa Bay manager Lou Piniella, bench coach John McLaren and right fielder Aubrey Huff were ejected for arguing after Huff was called out on strikes to end the ninth.	Tampa Bay manager Lou Piniella, bench coach John McLaren and Huff all were ejected in the middle of the ninth.	3.800
2778	The venture owns five oil refineries and more than 2,100 filling stations in Russia and Ukraine.	TNK-BP has six oil producing units, five refineries and 2,100 filling stations.	3.000
2779	Other changes in the plan refine his original vision, Libeskind said.	Many of the changes are improvements to the original plan, Libeskind said.	4.600
2780	Rep. Peter Deutsch, D-Fla., criticized the FDA's efforts in Florida.	Peter Deutsch, D-Fla., said he wanted to congratulate the FDA.	2.000
2781	There are now 37 active probable cases in the GTA, compared with 70 cases on June 6.	And, globally, the number of active probable cases has declined to 573.	1.500
2782	SARS has killed 296 people on China's mainland and infected more than 5,200.	Throughout China's mainland, the disease has killed 300 people and infected more than 5,270.	3.200
2783	The redesigned Finder also features search, coloured labels for customized organization of documents and projects and dynamic browsing of the network for Mac, Windows and UNIX file servers.	It also supports coloured labels to better organise documents, and dynamic browsing of the network for Mac, Windows and Unix file servers.	3.000
2784	The lawyer representing Torch Concepts, Rich Marsden did not respond to repeated phone calls.	Officials with Torch and JetBlue did not respond to repeated phone calls from the Mercury News seeking comment.	2.750
2785	He was voluntarily castrated in 2001, an operation he contends removed his ability to become sexually aroused.	DeVries, who was voluntarily castrated in August 2001, has said the surgery took away his ability to become sexually aroused.	4.500
2786	The S&P/TSX composite rose 87.74 points on the week, while the TSX Venture Exchange composite gained 44.49 points.	On the week, the Dow Jones industrial average rose 11.56 points, while the Nasdaq Stock Market gained 39.42 points.	1.000
2787	In turn SuSE will license Java 2 Standard Edition while also formalising an existing agreement to distribute Sun's Java Virtual Machine for running Java applications.	Nuremberg, Germany-based SuSE will license Sun's Java 2 Standard Edition (J2SE) and ship Sun's Java Virtual Machine across its Linux software line.	3.750
2788	Long lines formed outside gas stations and people rushed to get money from cash machines Sunday as Israelis prepared to weather a strike that threatened to paralyze the country.	Long lines formed Sunday outside gas stations and people rushed to get money from cash machines as Israelis braced for the strike's effects.	4.500
2789	The tech-heavy Nasdaq composite index fell 3.99, or 0.2 percent, to 1,682.72, following a two-day win of 55.93.	The technology-laced Nasdaq Composite Index .IXIC eased 8.52 points, or 0.51 percent, to 1,670.21.	1.500
2790	"We don't know if any will be SARS,"" said Dr. James Young, Ontario's commissioner of public safety."	"""We're being hyper-vigilant,"" said Dr. James Young, Ontario's commissioner of public safety."	2.000
2791	Sales for the quarter beat expectations, rising 37 percent year-on-year to 1.76 billion euros.	Sales rose 37 per cent year-on-year to 1.76bn, beating expectations.	4.000
2792	The company said it would issue revised guidance for the full fiscal year next month when it releases its Q2 results.	The company said it would renew its guidance for 2003 when it announces its second quarter results in mid-July.	3.200
2793	"""We haven't decided whether to use an unbroken or dotted white line, but this is an experiment worth introducing,"" said David Richardson, the ICC's cricket manager."	"""We haven't decided whether to use an unbroken or dotted white line,"" said Dave Richardson, the ICC's cricket manager."	4.000
2794	Shinseki retires Wednesday after a 38-year career that included combat in Vietnam and head of U.S. peacekeeping efforts in Bosnia.	Shinseki's career included combat in Vietnam and head of U.S. peacekeeping efforts in Bosnia.	3.000
2795	The department also sent water and soil samples to the state health laboratory.	Water samples are being sent to the state health department for analysis.	3.250
2796	"""But that does not clear them of the obligation to do everything possible to protect civilians, and that is not what we're seeing."""	"""But that does not clear them of the responsibility to do everything possible to minimize civilian harm."""	3.400
2797	Ross Garber, Rowland's lawyer, said Tuesday he would attend the meeting and would ask to speak on the issue.	Ross Garber, Rowland's legal counsel, said the governor would have no comment on the condo deal.	2.000
2798	Previously he had seen the grinning mechanic from east Java only on television.	Mr Hughes had seen Amrozi's face on television, the infamous images of the grinning mechanic from east Java.	3.400
2799	Two years later, the insurance coverage would begin.	Under the agreement, Medicare coverage for drug benefits would begin in 2006.	2.800
2800	NASA satellite images show that Arctic ice has been shrinking at the rate of nearly 10 percent a decade.	Researchers found that sea ice in the Arctic is disappearing at a rate of 9 percent each decade.	3.200
2801	"""Biotech products, if anything, may be safer than conventional products because of all the testing,"" Fraley said, adding that 18 countries have adopted biotechnology."	"""Biotech products, if anything, may be safer than conventional products because of all the testing,"" said Robert Fraley, Monsanto's executive vice president."	3.200
2802	A nationally board certified teacher with a master's degree, Kelley makes a salary of $65,000 in his 30th year.	A nationally board certified teacher with a master's degree, Kelley, in his 30th year teaching, makes $65,000.	4.750
2803	In Vienna, the IAEA said ElBaradei would accept the invitation, although no date had yet been set.	In Vienna, the International Atomic Energy Agency said on Monday ElBaradei had accepted Iran's invitation, but said no date had yet been set.	3.250
2804	The epidemic began in November in the mainland's Guangdong province, but the People's Republic of China refused to report truthfully about its spread for four months.	The PRC epidemic began in Guandong province in November, but the Communist Party government refused to report truthfully about its spread for four months.	4.250
2805	Druce will face murder charges, Conte said.	Conte said Druce will be charged with murder.	5.000
2806	That compared with $35.18 million, or 24 cents per share, in the year-ago period.	Earnings were affected by a non-recurring $8 million tax benefit in the year-ago period.	1.600
2807	Nick Markakis, a left-hander from Young Harris Junior College in Georgia, went to the Orioles with the seventh pick.	Next, Baltimore took Nick Markakis, a left-handed pitcher and outfielder from Young Harris Junior College in Georgia.	3.800
2808	"We remain hopeful that the city will agree to work with us and engage in good-faith discussions on this issue."""	"Alhart said the governor ""remains hopeful that the city will continue to work with us and engage in good-faith discussions."""	3.500
2809	Some women are also concerned that so many women are turning to cosmetic surgery in a quest for bodily perfection.	Some women also express concern about a society in which more people than ever are turning to cosmetic surgery in a quest for bodily perfection.	4.750
2810	The notification was first reported Friday by MSNBC.	MSNBC.com first reported the CIA request on Friday.	3.000
2811	There is, however, no photo of Peter Hollingworth in the June issue examined by the Herald yesterday.	There is, however, no photograph of Dr Hollingworth in the June issue of the magazine examined by The Age yesterday.	3.000
2812	"""We continue to work with the Saudis on this, but they did not, as of the time of this tragic event, provide the additional security we requested."""	"""But they did not, as of the time of this particular tragic event, provide the security we had requested,"" Mr Jordan said."	3.250
2813	A statement released by DEI said Green would begin driving the car on an interim basis beginning next week in the Winston Open at Lowe's Motor Speedway.	It was announced that Green will replace Park in the Dale Earnhardt Inc. No. 1 Chevrolet, beginning with the Winston Open at Lowe's Motor Speedway next week.	3.250
2814	Costa's semifinal opponent is Spaniard Juan Carlos Ferrero, whom he beat in last year's final.	Costa will play Juan Carlos Ferrero next in a rematch of last year's final.	3.750
2815	Doctors have speculated that the body's own estrogen protects against cell damage and improves blood flow.	Their belief was based on speculation that estrogen prevents cell damage and improves blood flow.	4.250
2816	The technology-laced Nasdaq Composite Index <.IXIC> added 8.27 points, or 0.51 percent, to 1,633.53.	The broader Standard & Poor's 500 Index .SPX crept up 4.3 points, or 0.44 percent, to 980.52.	1.200
2817	No Americans were reported among the casualties, according to Capt. Michael Calvert, a spokesman for the regiment.	None of the casualties was Americans, said Capt. Michael Calvert, regiment spokesman.	5.000
2818	We think they have the right to choose.	"""We think PeopleSoft customers deserve the right to choose,"" Ellison said."	3.000
2819	"""We have found the smoking gun,"" investigating board member Scott Hubbard said."	"""We have found the smoking gun,"" said Hubbard, director of NASA's Ames Research Center in California."	3.600
2820	"""This child was literally neglected to death,"" Armstrong County District Attorney Scott Andreassi said."	Armstrong County District Attorney Scott Andreassi said the many family photos in the home did not include Kristen.	1.800
2821	Microsoft said Friday that it is halting development of future Macintosh versions of its Internet Explorer browser, citing competition from Apple Computer's Safari browser.	Microsoft will stop developing versions of its Internet Explorer browser software for Macintosh computers, saying that Apple's Safari is now all that Apple needs.	4.000
2822	Chapman was not immediately arrested and is expected to appear for arraignment July 3.	Mr. Chapman, who hasn't been arrested, is expected to appear for arraignment next Thursday, prosecutors said.	3.800
2823	President Bush raised a record-breaking $49.5 million for his re-election campaign over the last three months, with contributions from 262,000 Americans, the president's campaign chairman said Tuesday.	President Bush has raised $83.9 million since beginning his re-election campaign in May, and has $70 million of that left to spend, his campaign said Tuesday.	2.400
2824	Authorities in Ohio, Indiana and Michigan have searched for the bodies.	So far, authorities also have searched areas in Pennsylvania, Ohio, Indiana, and Michigan.	2.800
2825	"He said European governments ""have blocked all new bio-crops because of unfounded, unscientific fears."	"""They have blocked all new bio-crops because of unfounded, unscientific fears,"" Bush said."	3.200
2826	"One question was whether France, which infuriated Washington by leading the charge against U.N. authorization for the war, would vote ""Yes"" or abstain."	France, which infuriated Washington by leading the charge against U.N. approval for the war, also sought changes.	3.000
2827	Luzerne County District Attorney David Lupas told a news conference Monday that authorities were ``continuing to make significant progress'' in the case.	"No charges have been filed in those deaths, but Luzerne County District Attorney David Lupas said authorities were ""continuing to make significant progress"" in the case."	3.400
2828	The U.S. Conference Board said its latest measure of business confidence hit 60 after falling to 53 in its first quarter survey.	The Conference Board said its measure of business confidence, which had fallen to 53 in the first quarter of 2003, improved to 60 in the most recent second quarter.	3.800
2829	Its legal representatives began meeting with plaintiffs' attorneys last week to discuss a settlement.	Attorneys for both the archdiocese and the plaintiffs began meeting last week to reach the out-of-court settlement.	3.250
2830	Seniors would then have to pay 50 percent of their drug costs up to $3,450.	Above that, Medicare would pay 90 percent of all drug costs.	1.500
2831	The flamboyant entrepreneur flagged the plan after a meeting in London with Australian Tourism Minister Joe Hockey.	Sir Richard was speaking after a meeting in London with Australian Tourism Minister Joe Hockey.	2.800
2832	"Government bonds sold off sharply after Greenspan told Congress on Tuesday that the U.S. economy ""could very well be embarking on a period of extended growth""."	"Greenspan told Congress on Tuesday the U.S. economy ""could very well be embarking on a period of sustained growth""."	3.200
2833	For Kathy Nicolo (Jennifer Connelly), the house means stability and family.	Kathy Nicolo (Jennifer Connelly) is desperate that her family not find out that her life has fallen apart.	2.000
2834	The Institute for Supply Management's index of nonmanufacturing activity rose unexpectedly in April, reports said.	The Institute for Supply Management said its index of non-manufacturing activity rose to 50.7 from 47.9 in March.	3.400
2835	"WHO spokeswoman Maria Cheng agreed, saying: ""It looks very much like an isolated event."""	"""It looks very much like an isolated event,"" World Health Organization spokeswoman Maria Cheng said."	4.600
2836	Police said her two small children were alone in the apartment for up to two days.	Police said her two small children were alone there for up to two days as she lay dead.	3.250
2837	The priest, the Rev. John F. Johnston, 64, of 35th Avenue in Jackson Heights, was charged with aggravated harassment and criminal possession of a weapon.	The Rev. John Johnston, 64, was charged with aggravated harassment in the phone call case and with criminal possession of a weapon, according to a police statement.	3.750
2838	The settlement includes $4.1 million in attorneys' fees and expenses.	Plaintiffs' attorneys would get $4.1 million of the settlement.	4.500
2839	Three no votes would kill it for now.	It would take three votes to kill the ACC's expansion.	3.667
2840	Some 660 prisoners from 42 countries, including Canada, are held, many captured during the war against in Afghanistan the al-Qaida network.	Some 660 prisoners from 42 countries are being held at the Naval base at Guantanamo Bay, many captured during the war against Al Qaeda in Afghanistan.	3.333
2841	To reach John A. Dvorak, who covers Kansas, call (816) 234-7743 or send e-mail to jdvorak@kctar.com.	To reach Brad Cooper, Johnson County municipal reporter, call (816) 234-7724 or send e-mail to bcooper@kcstar.com.	1.000
2842	Prosecutor Jim Hardin called the decision a victory for Kathleen Peterson's family.	Members of Kathleen Peterson's family were not present.	1.000
2843	"And now it's anything he wants to say,"" Alesha Badgley, Stone County Nursing and Rehabilitation Center social director, said this week."	"And now it's anything he wants to say,"" confirmed Stone County Nursing and Rehabilitation Center social director Alesha Badgley."	5.000
2844	The national denomination of the Episcopal Church, with 2.3 million members, is the U.S. branch of the 77 million-member Anglican Communion.	The Episcopal Church, with 2.3 million members, is the American branch of the worldwide Anglican Communion, which has 77 million adherents.	5.000
2845	"""I feel confident saying that HP is no longer an integration story,"" Fiorina said."	"""We still have a lot to do, but I feel confident that HP is no longer an integration story."""	3.400
2846	British police arrested 21 people early Tuesday in connection with the suspected ritual murder of an African boy whose torso was found in the Thames River.	Police have arrested 21 people in connection with the murder of a young Nigerian child whose headless and limbless torso was found floating in the river Thames.	3.500
2847	By late afternoon, the Dow Jones industrial average was up 12.81, or 0.1 percent, at 9,331.77, having gained 201 points Monday to its highest level since July 2002.	In morning trading, the Dow Jones industrial average was down 8.76, or 0.1 percent, at 9,310.20, having gained 201 points Monday.	1.250
2848	Eric Gagne pitched a perfect ninth for his 23rd save in as many opportunities.	Gagne struck out two in a perfect ninth inning for his 23rd save.	3.250
2849	Shares closed on NASDAQ just below their 52-week high, at $32.17, up $1.54.	Trading of EchoStar's stock closed Tuesday at a 52-week high of $32.17, up $1.54.	3.250
2850	Janice Kelly said her husband had received assurances from senior MoD officials that his name would not be made public.	She told the inquiry that her husband had received assurances from his line manager and senior ministry officials that when he came forward his name would not be made public.	3.750
2851	If convicted, they face up to five years in prison and a $250,000 fine on each of the 11 counts.	If convicted, each faces up to five years in prison and a fine of $250,000 or more based on the amount of gains involved.	3.250
2852	U.S. corporate bond yield spreads tightened in spotty trading on Friday as Wall Street labored to get back on its feet after the largest power outage ever in North America.	U.S. stocks rose slightly on feather-light volume on Friday, as Wall Street regrouped after the biggest-ever power outage in North America.	3.600
2853	Evacuation went smoothly, although passengers weren't told what was going on, Hunt said.	Passengers were evacuated smoothly, although they were not told what was going on, he said.	4.400
2854	Between 1993 and 2002, 142 allegations of sexual assault were reported.	From 1993 to 2002, there were 142 reported sexual assaults at the academy.	3.600
2855	"Smith said simply ""Oh, my God,"" in the seconds afterward, according to Weinshall."	"In the seconds after the crash, she added, Captain Smith said simply, ""Oh my God."""	3.750
2856	Cooley said he expects Muhammad will similarly be called as a witness at a pretrial hearing for Malvo.	Lee Boyd Malvo will be called as a witness Wednesday in a pretrial hearing for fellow sniper suspect John Allen Muhammad.	2.500
2857	"""He really left us with a smile on his face and no last words,"" daughter Linda Hope said."	"""He really left us with a smile on his face and no last words ... He gave us each a kiss and that was it,"" she said."	3.250
2858	He also could be barred permanently from the securities industry.	Young faces a fine, suspension or being permanently barred from the securities industry.	3.333
2859	"""They were an inspirational couple, selfless and courageous,"" said the Oscar-winning film director."	He said: “They were an inspirational couple, selfless and courageous.	3.000
